check,pass,detail
clean numeric alternative_loss_tests_v21.csv:horizon,True,
clean text alternative_loss_tests_v21.csv:comparison,True,
clean text alternative_loss_tests_v21.csv:model_a,True,
clean text alternative_loss_tests_v21.csv:model_b,True,
clean text alternative_loss_tests_v21.csv:loss,True,
clean numeric alternative_loss_tests_v21.csv:floor_fraction_of_mean_target,True,
clean numeric alternative_loss_tests_v21.csv:floor_value,True,
clean numeric alternative_loss_tests_v21.csv:n,True,
clean numeric alternative_loss_tests_v21.csv:delta_oos_r2,True,
clean numeric alternative_loss_tests_v21.csv:mean_loss_gain_a_over_b,True,
clean numeric alternative_loss_tests_v21.csv:hac_lags,True,
clean numeric alternative_loss_tests_v21.csv:hac_t,True,
clean numeric alternative_loss_tests_v21.csv:hac_p,True,
clean numeric alternative_loss_tests_v21.csv:block_length,True,
clean numeric alternative_loss_tests_v21.csv:block_p,True,
clean run produced calendar_scaling_results_v21.csv,True,
